1;Persoana;cosmin_pop;cosmin@ubb.ro;cpass1;Popescu;Cosmin;1998-05-20;Analist;7
2;Persoana;andreea.r;andreea@yahoo.com;rpass2;Radu;Andreea;2000-01-10;Designer;8
3;Persoana;mihai_ceo;mihai@corp.com;mpass3;Ionescu;Mihai;1990-12-01;Manager;5
8;Persoana;dani_art;dani@art.ro;dpass8;Enescu;Daniel;1999-07-07;Artist;9
9;Persoana;ana.maria;ana@it.ro;apass9;Popa;Ana;2001-02-15;Student;7
4;Duck;aqua_man;aqua@rate.com;dpass4;Swimming;12.5;9.0
6;Duck;swim_pro;pro@rate.com;dpass6;Swimming;9.8;11.2
10;Duck;swimmer_x;x@rate.com;dpass10;Swimming;14.0;7.5
11;Duck;rezistenta;r@rate.com;dpass11;Swimming;8.5;15.0
12;Duck;fast_swim;fs@rate.com;dpass12;Swimming;18.0;6.0
5;Duck;fly_high;high@rate.com;dpass5;Flying;25.0;6.5
7;Duck;fast_wing;wing@rate.com;dpass7;Flying;18.2;7.0
13;Duck;vultur;v@rate.com;dpass13;Flying;20.0;4.5
14;Duck;planor;p@rate.com;dpass14;Flying;15.0;8.0
15;Duck;sky_king;sk@rate.com;dpass15;Flying;28.0;5.5
